event_id,event_datetime,event_parish,event_lat,event_lon,stations_checked,usable_stations,nearest_station_confidence,nearest_station_name,nearest_station_slug,nearest_station_distance_mi,nearest_records,nearest_coverage_pct,nearest_event_total_in,nearest_peak_rain_rate_inhr,nearest_max_5min_in,nearest_max_15min_in,nearest_max_30min_in,nearest_max_60min_in,nearest_max_180min_in,stations_within_1mi,max_5min_within_1mi_in,max_15min_within_1mi_in,max_30min_within_1mi_in,max_60min_within_1mi_in,max_180min_within_1mi_in,max_total_within_1mi_in,stations_within_2mi,max_5min_within_2mi_in,max_15min_within_2mi_in,max_30min_within_2mi_in,max_60min_within_2mi_in,max_180min_within_2mi_in,max_total_within_2mi_in,stations_within_5mi,max_5min_within_5mi_in,max_15min_within_5mi_in,max_30min_within_5mi_in,max_60min_within_5mi_in,max_180min_within_5mi_in,max_total_within_5mi_in
821345,2019-04-18 13:20:00,EAST BATON ROUGE,30.4347,-91.1064,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815629,2019-05-09 15:30:00,EAST BATON ROUGE,30.5354,-91.1869,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815635,2019-05-10 07:30:00,EAST BATON ROUGE,30.5613,-91.0231,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815761,2019-05-12 00:31:00,JEFFERSON,29.8405,-90.1192,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815764,2019-05-12 05:30:00,ORLEANS,29.9245,-90.069,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815765,2019-05-12 06:05:00,ST. CHARLES,29.98,-90.35,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815762,2019-05-12 04:37:00,ST. CHARLES,30.0,-90.42,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815763,2019-05-12 05:20:00,JEFFERSON,30.0175,-90.1363,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820917,2019-06-06 07:45:00,EAST BATON ROUGE,30.5649,-91.2103,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846023,2019-07-10 07:48:00,JEFFERSON,29.9638,-90.2275,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835355,2019-07-10 07:15:00,ORLEANS,29.9793,-90.1214,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835399,2019-07-20 12:00:00,ORLEANS,29.95,-90.1,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835410,2019-07-23 21:00:00,ST. CHARLES,29.9403,-90.3368,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842874,2019-08-26 15:20:00,ORLEANS,29.9691,-90.1189,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856814,2019-10-10 19:42:00,ST. CHARLES,29.9336,-90.3569,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894568,2020-05-14 23:45:00,ST. CHARLES,29.96,-90.37,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899389,2020-06-10 07:54:00,ORLEANS,30.0076,-90.0529,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911870,2020-07-02 12:45:00,ST. CHARLES,29.83,-90.47,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
