event_id,event_datetime,event_date,event_parish,event_lat,event_lon,rainfall_window_type,rainfall_window_start,rainfall_window_end,station_parish,station_network,station_name,station_slug,station_lat,station_lon,distance_mi,records,coverage_pct,event_total_in,peak_rain_rate_inhr,qc_negative_resets,qc_big_1min_increments,max_5min_in,max_15min_in,max_30min_in,max_60min_in,max_180min_in
1014017,2022-03-22 16:16:00,2022-03-22,EAST BATON ROUGE,30.4274,-91.1551,daily,2022-03-22 13:16:00,2022-03-22 19:16:00,East Baton Rouge,eastbatonrouge,Louisiana State University (Tiger Stadium),tigerstadium,30.411921,-91.183756,2.015,16,4.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1014017,2022-03-22 16:16:00,2022-03-22,EAST BATON ROUGE,30.4274,-91.1551,daily,2022-03-22 13:16:00,2022-03-22 19:16:00,East Baton Rouge,eastbatonrouge,Louisiana State University (Alex Box Stadium),alexbox,30.411238,-91.183516,2.028,360,99.7,1.37,9.14,0,0,0.35,0.75,1.08,1.29,1.37
1021946,2022-04-13 23:14:00,2022-04-13,ORLEANS,29.9439,-90.0792,daily,2022-04-13 20:14:00,2022-04-14 02:14:00,Orleans,orleans,Loyola University New Orleans (Uptown/Audubon),loyola,29.93707,-90.119921,2.483,357,98.9,2.22,6.55,0,0,0.41,1.0,1.64,2.15,2.22
1021946,2022-04-13 23:14:00,2022-04-13,ORLEANS,29.9439,-90.0792,daily,2022-04-13 20:14:00,2022-04-14 02:14:00,Orleans,orleans,SWBNO East Bank Water Intake (Carrollton Bend),carrolltonbend,29.95334,-90.13797,3.578,401,111.1,2.82,7.2,0,0,0.59,1.41,2.1,2.71,2.82
1031174,2022-05-25 14:08:00,2022-05-25,ORLEANS,29.9,-89.99,daily,2022-05-25 09:15:00,2022-05-25 17:08:00,Orleans,orleans,SWBNO West Bank Water Treatment (English Turn),englishturn,29.907042,-89.966192,1.507,527,111.2,0.56,2.64,0,0,0.17,0.28,0.3,0.37,0.53
1031174,2022-05-25 14:08:00,2022-05-25,ORLEANS,29.9,-89.99,daily,2022-05-25 09:15:00,2022-05-25 17:08:00,Orleans,orleans,NORDC Morris F.X. Jeff Sr. Park (Algiers),algiers,29.942018,-90.029914,3.761,73,15.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1043340,2022-06-10 11:38:00,2022-06-10,JEFFERSON,29.95,-90.2,daily,2022-06-10 06:13:00,2022-06-10 15:06:00,Orleans,orleans,SWBNO East Bank Water Intake (Carrollton Bend),carrolltonbend,29.95334,-90.13797,3.721,533,99.8,1.46,4.57,0,0,0.25,0.39,0.68,1.2,1.28
1043340,2022-06-10 11:38:00,2022-06-10,JEFFERSON,29.95,-90.2,daily,2022-06-10 06:13:00,2022-06-10 15:06:00,Orleans,orleans,Loyola University New Orleans (Uptown/Audubon),loyola,29.93707,-90.119921,4.877,533,99.8,1.29,4.2,0,0,0.21,0.37,0.49,0.89,1.17
1043328,2022-06-10 11:06:00,2022-06-10,ORLEANS,29.9842,-90.0954,daily,2022-06-10 06:13:00,2022-06-10 15:06:00,Orleans,orleans,NOFD Logistics (Navarre),logistics,29.98614,-90.10934,0.845,537,100.6,3.05,7.11,0,0,0.48,1.14,1.52,2.7,2.9
1043328,2022-06-10 11:06:00,2022-06-10,ORLEANS,29.9842,-90.0954,daily,2022-06-10 06:13:00,2022-06-10 15:06:00,Orleans,orleans,NOPD Stables (City Park),citypark,29.99789,-90.09909,0.971,534,100.0,2.43,4.84,0,0,0.33,0.82,1.43,2.07,2.37
