event_id,event_datetime,event_date,event_parish,event_lat,event_lon,rainfall_window_type,rainfall_window_start,rainfall_window_end,stations_checked,usable_stations,nearest_station_confidence,nearest_station_name,nearest_station_slug,nearest_station_distance_mi,nearest_records,nearest_coverage_pct,nearest_event_total_in,nearest_peak_rain_rate_inhr,nearest_max_5min_in,nearest_max_15min_in,nearest_max_30min_in,nearest_max_60min_in,nearest_max_180min_in,stations_within_1mi,max_5min_within_1mi_in,max_15min_within_1mi_in,max_30min_within_1mi_in,max_60min_within_1mi_in,max_180min_within_1mi_in,max_total_within_1mi_in,stations_within_2mi,max_5min_within_2mi_in,max_15min_within_2mi_in,max_30min_within_2mi_in,max_60min_within_2mi_in,max_180min_within_2mi_in,max_total_within_2mi_in,stations_within_5mi,max_5min_within_5mi_in,max_15min_within_5mi_in,max_30min_within_5mi_in,max_60min_within_5mi_in,max_180min_within_5mi_in,max_total_within_5mi_in
1009733,2022-02-03 14:58:00,2022-02-03,ORLEANS,29.9952,-90.073,daily,2022-02-03 11:58:00,2022-02-03 17:58:00,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014017,2022-03-22 16:16:00,2022-03-22,EAST BATON ROUGE,30.4274,-91.1551,daily,2022-03-22 13:16:00,2022-03-22 19:16:00,2,2,medium,Louisiana State University (Tiger Stadium),tigerstadium,2.015,16.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,2.0,0.35,0.75,1.08,1.29,1.37,1.37
1021946,2022-04-13 23:14:00,2022-04-13,ORLEANS,29.9439,-90.0792,daily,2022-04-13 20:14:00,2022-04-14 02:14:00,2,2,medium,Loyola University New Orleans (Uptown/Audubon),loyola,2.483,357.0,98.9,2.22,6.55,0.41,1.0,1.64,2.15,2.22,0.0,,,,,,,0.0,,,,,,,2.0,0.59,1.41,2.1,2.71,2.82,2.82
1031174,2022-05-25 14:08:00,2022-05-25,ORLEANS,29.9,-89.99,daily,2022-05-25 09:15:00,2022-05-25 17:08:00,2,2,medium,SWBNO West Bank Water Treatment (English Turn),englishturn,1.507,527.0,111.2,0.56,2.64,0.17,0.28,0.3,0.37,0.53,0.0,,,,,,,1.0,0.17,0.28,0.3,0.37,0.53,0.56,2.0,0.17,0.28,0.3,0.37,0.53,0.56
1031168,2022-05-25 12:15:00,2022-05-25,ST. CHARLES,30.03,-90.46,daily,2022-05-25 09:15:00,2022-05-25 17:08:00,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043340,2022-06-10 11:38:00,2022-06-10,JEFFERSON,29.95,-90.2,daily,2022-06-10 06:13:00,2022-06-10 15:06:00,2,2,low,SWBNO East Bank Water Intake (Carrollton Bend),carrolltonbend,3.721,533.0,99.8,1.46,4.57,0.25,0.39,0.68,1.2,1.28,0.0,,,,,,,0.0,,,,,,,2.0,0.25,0.39,0.68,1.2,1.28,1.46
1043328,2022-06-10 11:06:00,2022-06-10,ORLEANS,29.9842,-90.0954,daily,2022-06-10 06:13:00,2022-06-10 15:06:00,9,9,high,NOFD Logistics (Navarre),logistics,0.845,537.0,100.6,3.05,7.11,0.48,1.14,1.52,2.7,2.9,2.0,0.48,1.14,1.52,2.7,2.9,3.05,2.0,0.48,1.14,1.52,2.7,2.9,3.05,9.0,0.48,1.14,1.52,2.7,2.9,3.05
1043334,2022-06-10 11:08:00,2022-06-10,JEFFERSON,30.02,-90.23,daily,2022-06-10 06:13:00,2022-06-10 15:06:00,0,0,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043337,2022-06-10 11:23:00,2022-06-10,ORLEANS,30.02,-90.02,daily,2022-06-10 06:13:00,2022-06-10 15:06:00,5,5,low,NOFD Engine 36 (New Orleans East),neworleanseast,3.11,533.0,99.8,3.06,7.48,0.41,0.77,0.96,1.11,1.46,0.0,,,,,,,0.0,,,,,,,5.0,0.41,0.82,1.43,2.07,2.9,3.85
1043324,2022-06-10 10:24:00,2022-06-10,ORLEANS,30.0218,-90.0051,daily,2022-06-10 06:13:00,2022-06-10 15:06:00,5,5,medium,NOFD Engine 36 (New Orleans East),neworleanseast,2.21,533.0,99.8,3.06,7.48,0.41,0.77,0.96,1.11,1.46,0.0,,,,,,,0.0,,,,,,,5.0,0.41,0.77,1.11,1.71,2.9,3.85
